invoice_no,revenue_date,customer_code,product_code,amount_krw,incoterms,order_no,order_date
SI2024-00294,2024-06-17,C004,P-B,161715942,FOB 도착지,SO2024-00294,2024-05-30
SI2024-00502,2024-06-17,C001,P-C,72496583,FOB 도착지,SO2024-00502,2024-06-05
SI2024-00499,2024-06-19,C002,P-C,115483994,FOB 도착지,SO2024-00499,2024-06-01
SI2024-00096,2024-06-20,C001,P-A,190330027,FOB 도착지,SO2024-00096,2024-06-01
SI2024-00089,2024-06-24,C009,P-A,305929530,FOB 도착지,SO2024-00089,2024-06-06
SI2024-00284,2024-06-24,C010,P-B,107757973,FOB 도착지,SO2024-00284,2024-06-06
SI2024-00285,2024-06-24,C005,P-B,157501013,FOB 도착지,SO2024-00285,2024-06-14
SI2024-00289,2024-06-24,C003,P-B,82749274,FOB 도착지,SO2024-00289,2024-05-31
SI2024-00492,2024-06-24,C004,P-C,71514358,FOB 도착지,SO2024-00492,2024-06-08
SI2024-00503,2024-06-24,C002,P-C,55327679,FOB 도착지,SO2024-00503,2024-06-12
SI2024-00506,2024-06-24,C008,P-C,104904073,FOB 도착지,SO2024-00506,2024-06-07
SI2024-00508,2024-06-24,C001,P-C,86250861,FOB 도착지,SO2024-00508,2024-06-01
SI2024-00095,2024-06-25,C007,P-A,196077877,FOB 도착지,SO2024-00095,2024-06-10
SI2024-00295,2024-06-25,C009,P-B,151559927,FOB 도착지,SO2024-00295,2024-06-11
SI2024-00282,2024-06-26,C008,P-B,61538586,FOB 도착지,SO2024-00282,2024-06-03
SI2024-00494,2024-06-26,C008,P-C,79304303,FOB 도착지,SO2024-00494,2024-06-13
SI2024-00085,2024-06-27,C003,P-A,262480016,FOB 도착지,SO2024-00085,2024-06-12
SI2024-00288,2024-06-27,C006,P-B,170378237,FOB 도착지,SO2024-00288,2024-06-14
SI2024-00496,2024-06-27,C004,P-C,90669999,FOB 도착지,SO2024-00496,2024-06-15
SI2024-00086,2024-06-28,C010,P-A,300653700,FOB 도착지,SO2024-00086,2024-06-06
SI2024-00309,2024-07-02,C005,P-B,122191582,FOB 도착지,SO2024-00309,2024-06-22
SI2024-00108,2024-07-03,C009,P-A,80842923,FOB 도착지,SO2024-00108,2024-06-11
SI2024-00519,2024-07-04,C007,P-C,111287879,FOB 도착지,SO2024-00519,2024-06-12
SI2024-00104,2024-07-05,C003,P-A,113816111,FOB 도착지,SO2024-00104,2024-06-16
SI2024-00513,2024-07-05,C001,P-C,111541303,FOB 도착지,SO2024-00513,2024-06-13
SI2024-00514,2024-07-05,C002,P-C,46472028,FOB 도착지,SO2024-00514,2024-06-18
SI2024-00101,2024-07-08,C009,P-A,209159640,FOB 도착지,SO2024-00101,2024-06-24
SI2024-00102,2024-07-08,C006,P-A,212656572,FOB 도착지,SO2024-00102,2024-06-28
SI2024-00107,2024-07-08,C002,P-A,232506981,FOB 도착지,SO2024-00107,2024-06-22
SI2024-00110,2024-07-08,C008,P-A,78981153,FOB 도착지,SO2024-00110,2024-06-14
SI2024-00297,2024-07-08,C001,P-B,156824748,FOB 도착지,SO2024-00297,2024-06-13
SI2024-00299,2024-07-08,C005,P-B,136624964,FOB 도착지,SO2024-00299,2024-06-19
SI2024-00300,2024-07-08,C001,P-B,56315880,FOB 도착지,SO2024-00300,2024-06-21
SI2024-00512,2024-07-08,C006,P-C,35577252,FOB 도착지,SO2024-00512,2024-06-14
SI2024-00517,2024-07-08,C001,P-C,83454114,FOB 도착지,SO2024-00517,2024-06-21
SI2024-00518,2024-07-08,C008,P-C,98431961,FOB 도착지,SO2024-00518,2024-06-15
SI2024-00109,2024-07-09,C003,P-A,262840465,FOB 도착지,SO2024-00109,2024-06-22
SI2024-00310,2024-07-09,C008,P-B,155514372,FOB 도착지,SO2024-00310,2024-06-25
SI2024-00515,2024-07-09,C003,P-C,81951435,FOB 도착지,SO2024-00515,2024-06-14
SI2024-00099,2024-07-11,C002,P-A,206078024,FOB 도착지,SO2024-00099,2024-06-18
SI2024-00106,2024-07-11,C005,P-A,236276360,FOB 도착지,SO2024-00106,2024-06-23
SI2024-00509,2024-07-11,C007,P-C,92513970,FOB 도착지,SO2024-00509,2024-07-01
SI2024-00303,2024-07-12,C009,P-B,143720177,FOB 도착지,SO2024-00303,2024-06-23
SI2024-00103,2024-07-15,C002,P-A,214072663,FOB 도착지,SO2024-00103,2024-06-30
SI2024-00105,2024-07-15,C004,P-A,119181394,FOB 도착지,SO2024-00105,2024-06-28
SI2024-00112,2024-07-15,C006,P-A,227481139,FOB 도착지,SO2024-00112,2024-06-23
SI2024-00301,2024-07-15,C004,P-B,79319151,FOB 도착지,SO2024-00301,2024-07-04
SI2024-00305,2024-07-15,C003,P-B,58946151,FOB 도착지,SO2024-00305,2024-06-25
SI2024-00306,2024-07-15,C005,P-B,108822989,FOB 도착지,SO2024-00306,2024-06-29
SI2024-00298,2024-07-17,C003,P-B,109820319,FOB 도착지,SO2024-00298,2024-06-25
SI2024-00113,2024-07-18,C007,P-A,248338884,FOB 도착지,SO2024-00113,2024-06-23
SI2024-00304,2024-07-18,C007,P-B,141150857,FOB 도착지,SO2024-00304,2024-06-27
SI2024-00510,2024-07-19,C006,P-C,84594312,FOB 도착지,SO2024-00510,2024-06-25
SI2024-00307,2024-07-22,C006,P-B,91797645,FOB 도착지,SO2024-00307,2024-07-12
SI2024-00522,2024-07-22,C003,P-C,102836564,FOB 도착지,SO2024-00522,2024-07-10
SI2024-00111,2024-07-23,C001,P-A,117224734,FOB 도착지,SO2024-00111,2024-07-12
SI2024-00312,2024-07-24,C010,P-B,114093487,FOB 도착지,SO2024-00312,2024-07-05
SI2024-00313,2024-07-24,C006,P-B,70112991,FOB 도착지,SO2024-00313,2024-07-03
SI2024-00511,2024-07-25,C007,P-C,41790248,FOB 도착지,SO2024-00511,2024-07-11
SI2024-00520,2024-07-25,C006,P-C,89923452,FOB 도착지,SO2024-00520,2024-07-05
SI2024-00521,2024-07-25,C008,P-C,124523366,FOB 도착지,SO2024-00521,2024-07-12
SI2024-00100,2024-07-29,C008,P-A,136542957,FOB 도착지,SO2024-00100,2024-07-06
SI2024-00302,2024-07-29,C004,P-B,110692404,FOB 도착지,SO2024-00302,2024-07-15
SI2024-00308,2024-07-29,C006,P-B,58971141,FOB 도착지,SO2024-00308,2024-07-11
SI2024-00311,2024-07-29,C004,P-B,82081142,FOB 도착지,SO2024-00311,2024-07-14
SI2024-00516,2024-07-29,C006,P-C,50102116,FOB 도착지,SO2024-00516,2024-07-16
SI2024-00120,2024-08-02,C007,P-A,139359614,FOB 도착지,SO2024-00120,2024-07-20
SI2024-00524,2024-08-02,C001,P-C,96263406,FOB 도착지,SO2024-00524,2024-07-18
SI2024-00115,2024-08-05,C002,P-A,123623906,FOB 도착지,SO2024-00115,2024-07-19
SI2024-00118,2024-08-05,C009,P-A,98130083,FOB 도착지,SO2024-00118,2024-07-11
SI2024-00125,2024-08-05,C010,P-A,169800911,FOB 도착지,SO2024-00125,2024-07-21
SI2024-00131,2024-08-05,C007,P-A,206926465,FOB 도착지,SO2024-00131,2024-07-26
SI2024-00322,2024-08-05,C008,P-B,63202941,FOB 도착지,SO2024-00322,2024-07-18
SI2024-00536,2024-08-05,C010,P-C,67806849,FOB 도착지,SO2024-00536,2024-07-22
SI2024-00126,2024-08-06,C001,P-A,65356105,FOB 도착지,SO2024-00126,2024-07-18
SI2024-00327,2024-08-06,C007,P-B,98284888,FOB 도착지,SO2024-00327,2024-07-14
SI2024-00129,2024-08-07,C001,P-A,185053519,FOB 도착지,SO2024-00129,2024-07-26
SI2024-00133,2024-08-07,C008,P-A,141952338,FOB 도착지,SO2024-00133,2024-07-18
SI2024-00316,2024-08-08,C005,P-B,151687128,FOB 도착지,SO2024-00316,2024-07-19
SI2024-00321,2024-08-08,C005,P-B,196407482,FOB 도착지,SO2024-00321,2024-07-24
SI2024-00329,2024-08-08,C002,P-B,86136253,FOB 도착지,SO2024-00329,2024-07-21
SI2024-00127,2024-08-09,C001,P-A,156276233,FOB 도착지,SO2024-00127,2024-07-16
SI2024-00128,2024-08-12,C003,P-A,105254786,FOB 도착지,SO2024-00128,2024-08-01
SI2024-00325,2024-08-12,C001,P-B,64565393,FOB 도착지,SO2024-00325,2024-08-02
SI2024-00525,2024-08-12,C007,P-C,70428206,FOB 도착지,SO2024-00525,2024-07-20
SI2024-00527,2024-08-12,C008,P-C,57676819,FOB 도착지,SO2024-00527,2024-07-19
SI2024-00528,2024-08-12,C004,P-C,52685252,FOB 도착지,SO2024-00528,2024-07-21
SI2024-00323,2024-08-13,C003,P-B,200457425,FOB 도착지,SO2024-00323,2024-07-19
SI2024-00538,2024-08-13,C009,P-C,70280012,FOB 도착지,SO2024-00538,2024-07-26
SI2024-00132,2024-08-14,C004,P-A,105351300,FOB 도착지,SO2024-00132,2024-07-28
SI2024-00540,2024-08-14,C001,P-C,97433870,FOB 도착지,SO2024-00540,2024-08-03
SI2024-00122,2024-08-15,C004,P-A,170628651,FOB 도착지,SO2024-00122,2024-07-29
SI2024-00114,2024-08-16,C006,P-A,209069825,FOB 도착지,SO2024-00114,2024-07-26
SI2024-00121,2024-08-16,C001,P-A,198200567,FOB 도착지,SO2024-00121,2024-07-24
SI2024-00326,2024-08-16,C007,P-B,79727150,FOB 도착지,SO2024-00326,2024-07-27
SI2024-00328,2024-08-16,C003,P-B,117384248,FOB 도착지,SO2024-00328,2024-08-05
SI2024-00123,2024-08-19,C003,P-A,102932096,FOB 도착지,SO2024-00123,2024-07-28
SI2024-00315,2024-08-19,C004,P-B,177047359,FOB 도착지,SO2024-00315,2024-08-07
SI2024-00319,2024-08-19,C010,P-B,105007949,FOB 도착지,SO2024-00319,2024-07-26
SI2024-00523,2024-08-19,C010,P-C,111549097,FOB 도착지,SO2024-00523,2024-07-25
SI2024-00531,2024-08-19,C009,P-C,45536216,FOB 도착지,SO2024-00531,2024-07-26
SI2024-00534,2024-08-19,C006,P-C,42785121,FOB 도착지,SO2024-00534,2024-08-05
SI2024-00537,2024-08-19,C004,P-C,102666601,FOB 도착지,SO2024-00537,2024-07-29
SI2024-00119,2024-08-20,C002,P-A,74141191,FOB 도착지,SO2024-00119,2024-08-01
SI2024-00124,2024-08-20,C008,P-A,197769628,FOB 도착지,SO2024-00124,2024-08-03
SI2024-00535,2024-08-20,C001,P-C,40083028,FOB 도착지,SO2024-00535,2024-07-27
SI2024-00318,2024-08-21,C003,P-B,161907733,FOB 도착지,SO2024-00318,2024-08-05
SI2024-00116,2024-08-22,C007,P-A,191687771,FOB 도착지,SO2024-00116,2024-08-06
SI2024-00117,2024-08-22,C004,P-A,186430020,FOB 도착지,SO2024-00117,2024-08-03
SI2024-00526,2024-08-22,C001,P-C,45536513,FOB 도착지,SO2024-00526,2024-07-31
SI2024-00533,2024-08-22,C007,P-C,76070094,FOB 도착지,SO2024-00533,2024-07-29
SI2024-00314,2024-08-26,C002,P-B,114277186,FOB 도착지,SO2024-00314,2024-08-12
SI2024-00317,2024-08-26,C008,P-B,135168240,FOB 도착지,SO2024-00317,2024-08-02
SI2024-00320,2024-08-26,C001,P-B,82108476,FOB 도착지,SO2024-00320,2024-08-07
SI2024-00530,2024-08-26,C007,P-C,73601851,FOB 도착지,SO2024-00530,2024-08-06
SI2024-00130,2024-08-27,C007,P-A,176054991,FOB 도착지,SO2024-00130,2024-08-02
SI2024-00324,2024-08-27,C007,P-B,168630149,FOB 도착지,SO2024-00324,2024-08-03
SI2024-00539,2024-08-27,C005,P-C,55394791,FOB 도착지,SO2024-00539,2024-08-14
SI2024-00529,2024-08-28,C002,P-C,85484345,FOB 도착지,SO2024-00529,2024-08-12
SI2024-00532,2024-08-28,C006,P-C,95717929,FOB 도착지,SO2024-00532,2024-08-16
SI2024-00141,2024-09-02,C007,P-A,270938515,FOB 도착지,SO2024-00141,2024-08-13
SI2024-00333,2024-09-02,C008,P-B,125061866,FOB 도착지,SO2024-00333,2024-08-16
SI2024-00555,2024-09-02,C010,P-C,125794644,FOB 도착지,SO2024-00555,2024-08-12
SI2024-00147,2024-09-03,C002,P-A,152030362,FOB 도착지,SO2024-00147,2024-08-17
SI2024-00541,2024-09-03,C006,P-C,126830307,FOB 도착지,SO2024-00541,2024-08-20
SI2024-00146,2024-09-04,C005,P-A,224473667,FOB 도착지,SO2024-00146,2024-08-20
SI2024-00143,2024-09-05,C010,P-A,106100948,FOB 도착지,SO2024-00143,2024-08-22
SI2024-00150,2024-09-05,C010,P-A,230868576,FOB 도착지,SO2024-00150,2024-08-19
SI2024-00334,2024-09-05,C004,P-B,85743800,FOB 도착지,SO2024-00334,2024-08-22
SI2024-00338,2024-09-05,C010,P-B,123277612,FOB 도착지,SO2024-00338,2024-08-15
SI2024-00554,2024-09-06,C004,P-C,125707401,FOB 도착지,SO2024-00554,2024-08-24
SI2024-00345,2024-09-09,C004,P-B,130457379,FOB 도착지,SO2024-00345,2024-08-28
SI2024-00542,2024-09-09,C007,P-C,47174458,FOB 도착지,SO2024-00542,2024-08-18
SI2024-00544,2024-09-09,C004,P-C,105917170,FOB 도착지,SO2024-00544,2024-08-28
SI2024-00551,2024-09-09,C006,P-C,70626807,FOB 도착지,SO2024-00551,2024-08-30
SI2024-00336,2024-09-10,C005,P-B,189424966,FOB 도착지,SO2024-00336,2024-08-16
SI2024-00339,2024-09-10,C004,P-B,60155058,FOB 도착지,SO2024-00339,2024-08-23
SI2024-00148,2024-09-11,C009,P-A,188014129,FOB 도착지,SO2024-00148,2024-08-18
SI2024-00344,2024-09-11,C008,P-B,129076336,FOB 도착지,SO2024-00344,2024-08-20
SI2024-00136,2024-09-12,C009,P-A,277781319,FOB 도착지,SO2024-00136,2024-08-29
SI2024-00137,2024-09-12,C004,P-A,196107805,FOB 도착지,SO2024-00137,2024-08-29
SI2024-00135,2024-09-13,C010,P-A,118615085,FOB 도착지,SO2024-00135,2024-08-25
SI2024-00142,2024-09-13,C004,P-A,261560870,FOB 도착지,SO2024-00142,2024-09-02
SI2024-00543,2024-09-13,C001,P-C,125406453,FOB 도착지,SO2024-00543,2024-09-03
SI2024-00144,2024-09-16,C006,P-A,140692118,FOB 도착지,SO2024-00144,2024-08-30
SI2024-00342,2024-09-16,C007,P-B,133618910,FOB 도착지,SO2024-00342,2024-09-02
SI2024-00545,2024-09-16,C010,P-C,42498316,FOB 도착지,SO2024-00545,2024-08-28
SI2024-00546,2024-09-16,C008,P-C,71776831,FOB 도착지,SO2024-00546,2024-08-22
SI2024-00547,2024-09-16,C008,P-C,51970881,FOB 도착지,SO2024-00547,2024-08-31
SI2024-00549,2024-09-16,C005,P-C,42384438,FOB 도착지,SO2024-00549,2024-09-01
SI2024-00149,2024-09-17,C003,P-A,98463204,FOB 도착지,SO2024-00149,2024-09-07
SI2024-00346,2024-09-17,C003,P-B,158737426,FOB 도착지,SO2024-00346,2024-08-24
SI2024-00553,2024-09-17,C003,P-C,134348730,FOB 도착지,SO2024-00553,2024-08-27
SI2024-00138,2024-09-18,C006,P-A,111178290,FOB 도착지,SO2024-00138,2024-08-28
SI2024-00139,2024-09-19,C006,P-A,199087316,FOB 도착지,SO2024-00139,2024-09-03
SI2024-00134,2024-09-20,C005,P-A,256748725,FOB 도착지,SO2024-00134,2024-09-04
SI2024-00343,2024-09-20,C007,P-B,157550853,FOB 도착지,SO2024-00343,2024-08-26
SI2024-00548,2024-09-20,C002,P-C,110882363,FOB 도착지,SO2024-00548,2024-09-09
SI2024-00151,2024-09-23,C007,P-A,142697347,FOB 도착지,SO2024-00151,2024-09-02
SI2024-00330,2024-09-23,C004,P-B,97322613,FOB 도착지,SO2024-00330,2024-09-04
SI2024-00347,2024-09-23,C003,P-B,109451642,FOB 도착지,SO2024-00347,2024-09-01
SI2024-00140,2024-09-24,C008,P-A,163521191,FOB 도착지,SO2024-00140,2024-09-09
SI2024-00335,2024-09-24,C002,P-B,175249113,FOB 도착지,SO2024-00335,2024-09-08
SI2024-00337,2024-09-24,C002,P-B,144425664,FOB 도착지,SO2024-00337,2024-08-30
SI2024-00331,2024-09-25,C008,P-B,131632790,FOB 도착지,SO2024-00331,2024-09-01
SI2024-00145,2024-09-26,C001,P-A,250120533,FOB 도착지,SO2024-00145,2024-09-12
SI2024-00552,2024-09-26,C003,P-C,129650414,FOB 도착지,SO2024-00552,2024-09-01
SI2024-00332,2024-09-27,C005,P-B,74794724,FOB 도착지,SO2024-00332,2024-09-14
SI2024-00550,2024-09-27,C008,P-C,141030787,FOB 도착지,SO2024-00550,2024-09-13
SI2024-00340,2024-09-30,C007,P-B,116820812,FOB 도착지,SO2024-00340,2024-09-20
SI2024-00341,2024-09-30,C002,P-B,116198436,FOB 도착지,SO2024-00341,2024-09-07
SI2024-00163,2024-10-01,C003,P-A,157161667,FOB 도착지,SO2024-00163,2024-09-21
SI2024-00353,2024-10-01,C004,P-B,203038336,FOB 도착지,SO2024-00353,2024-09-18
SI2024-00161,2024-10-03,C005,P-A,250408995,FOB 도착지,SO2024-00161,2024-09-22
SI2024-00166,2024-10-04,C006,P-A,185943072,FOB 도착지,SO2024-00166,2024-09-22
SI2024-00153,2024-10-07,C009,P-A,268609717,FOB 도착지,SO2024-00153,2024-09-18
SI2024-00162,2024-10-07,C006,P-A,175013158,FOB 도착지,SO2024-00162,2024-09-20
SI2024-00558,2024-10-07,C008,P-C,68005622,FOB 도착지,SO2024-00558,2024-09-20
SI2024-00352,2024-10-08,C003,P-B,78705865,FOB 도착지,SO2024-00352,2024-09-17
SI2024-00359,2024-10-08,C010,P-B,157454964,FOB 도착지,SO2024-00359,2024-09-27
SI2024-00160,2024-10-09,C002,P-A,130287911,FOB 도착지,SO2024-00160,2024-09-25
SI2024-00157,2024-10-10,C007,P-A,322341735,FOB 도착지,SO2024-00157,2024-09-29
SI2024-00355,2024-10-10,C003,P-B,76014218,FOB 도착지,SO2024-00355,2024-09-22
SI2024-00356,2024-10-10,C007,P-B,210732463,FOB 도착지,SO2024-00356,2024-09-20
SI2024-00564,2024-10-10,C009,P-C,147122466,FOB 도착지,SO2024-00564,2024-09-27
SI2024-00350,2024-10-11,C002,P-B,132832110,FOB 도착지,SO2024-00350,2024-09-28
SI2024-00156,2024-10-14,C001,P-A,165972823,FOB 도착지,SO2024-00156,2024-09-26
SI2024-00159,2024-10-14,C009,P-A,324646370,FOB 도착지,SO2024-00159,2024-09-23
SI2024-00351,2024-10-14,C006,P-B,123877790,FOB 도착지,SO2024-00351,2024-09-23
SI2024-00354,2024-10-14,C003,P-B,168030261,FOB 도착지,SO2024-00354,2024-10-04
SI2024-00360,2024-10-14,C004,P-B,115081558,FOB 도착지,SO2024-00360,2024-09-19
SI2024-00560,2024-10-14,C008,P-C,122648714,FOB 도착지,SO2024-00560,2024-10-01
SI2024-00569,2024-10-14,C002,P-C,63208023,FOB 도착지,SO2024-00569,2024-10-04
SI2024-00563,2024-10-15,C005,P-C,55526655,FOB 도착지,SO2024-00563,2024-09-25
SI2024-00568,2024-10-15,C009,P-C,60063782,FOB 도착지,SO2024-00568,2024-10-02
SI2024-00361,2024-10-16,C006,P-B,165798280,FOB 도착지,SO2024-00361,2024-09-25
SI2024-00358,2024-10-17,C010,P-B,120217712,FOB 도착지,SO2024-00358,2024-09-30
SI2024-00571,2024-10-17,C004,P-C,99672428,FOB 도착지,SO2024-00571,2024-09-23
SI2024-00155,2024-10-18,C003,P-A,285914658,FOB 도착지,SO2024-00155,2024-10-04
SI2024-00566,2024-10-18,C004,P-C,117796282,FOB 도착지,SO2024-00566,2024-09-25
SI2024-00557,2024-10-21,C006,P-C,107756609,FOB 도착지,SO2024-00557,2024-10-02
SI2024-00561,2024-10-21,C010,P-C,83640841,FOB 도착지,SO2024-00561,2024-10-08
SI2024-00565,2024-10-21,C003,P-C,122230605,FOB 도착지,SO2024-00565,2024-10-11
SI2024-00570,2024-10-21,C004,P-C,65537529,FOB 도착지,SO2024-00570,2024-09-27
SI2024-00165,2024-10-23,C005,P-A,227631176,FOB 도착지,SO2024-00165,2024-09-29
SI2024-00357,2024-10-23,C005,P-B,75224250,FOB 도착지,SO2024-00357,2024-09-29
SI2024-00348,2024-10-24,C006,P-B,197186608,FOB 도착지,SO2024-00348,2024-10-01
SI2024-00349,2024-10-24,C005,P-B,262418847,FOB 도착지,SO2024-00349,2024-10-04
SI2024-00559,2024-10-24,C002,P-C,52367749,FOB 도착지,SO2024-00559,2024-10-03
SI2024-00562,2024-10-24,C003,P-C,87573802,FOB 도착지,SO2024-00562,2024-09-29
SI2024-00567,2024-10-24,C010,P-C,108281969,FOB 도착지,SO2024-00567,2024-10-11
SI2024-00158,2024-10-25,C008,P-A,140520878,FOB 도착지,SO2024-00158,2024-10-10
SI2024-00556,2024-10-25,C010,P-C,41566924,FOB 도착지,SO2024-00556,2024-10-06
SI2024-00152,2024-10-28,C003,P-A,184768615,FOB 도착지,SO2024-00152,2024-10-10
SI2024-00154,2024-10-28,C004,P-A,337371350,FOB 도착지,SO2024-00154,2024-10-12
SI2024-00164,2024-10-28,C010,P-A,116407875,FOB 도착지,SO2024-00164,2024-10-13
SI2024-00362,2024-10-28,C004,P-B,95386738,FOB 도착지,SO2024-00362,2024-10-14
SI2024-00170,2024-11-01,C001,P-A,190474794,FOB 도착지,SO2024-00170,2024-10-11
SI2024-00176,2024-11-01,C003,P-A,175796984,FOB 도착지,SO2024-00176,2024-10-10
SI2024-00181,2024-11-01,C009,P-A,212792662,FOB 도착지,SO2024-00181,2024-10-22
SI2024-00377,2024-11-01,C004,P-B,176548441,FOB 도착지,SO2024-00377,2024-10-09
SI2024-00572,2024-11-01,C010,P-C,45660748,FOB 도착지,SO2024-00572,2024-10-10
SI2024-00577,2024-11-01,C007,P-C,126702913,FOB 도착지,SO2024-00577,2024-10-13
SI2024-00585,2024-11-01,C008,P-C,60910012,FOB 도착지,SO2024-00585,2024-10-14
SI2024-00168,2024-11-04,C010,P-A,141212235,FOB 도착지,SO2024-00168,2024-10-19
SI2024-00173,2024-11-04,C006,P-A,249960512,FOB 도착지,SO2024-00173,2024-10-10
SI2024-00175,2024-11-04,C007,P-A,221152743,FOB 도착지,SO2024-00175,2024-10-12
SI2024-00177,2024-11-04,C002,P-A,212696373,FOB 도착지,SO2024-00177,2024-10-15
SI2024-00182,2024-11-04,C001,P-A,107507490,FOB 도착지,SO2024-00182,2024-10-23
SI2024-00184,2024-11-04,C002,P-A,242248316,FOB 도착지,SO2024-00184,2024-10-16
SI2024-00380,2024-11-04,C008,P-B,143830859,FOB 도착지,SO2024-00380,2024-10-11
SI2024-00586,2024-11-04,C005,P-C,86766348,FOB 도착지,SO2024-00586,2024-10-18
SI2024-00587,2024-11-04,C003,P-C,68243840,FOB 도착지,SO2024-00587,2024-10-22
SI2024-00580,2024-11-05,C009,P-C,96529304,FOB 도착지,SO2024-00580,2024-10-25
SI2024-00583,2024-11-06,C003,P-C,102887227,FOB 도착지,SO2024-00583,2024-10-17
SI2024-00374,2024-11-07,C009,P-B,75222046,FOB 도착지,SO2024-00374,2024-10-27
SI2024-00372,2024-11-08,C002,P-B,90205507,FOB 도착지,SO2024-00372,2024-10-24
SI2024-00167,2024-11-11,C005,P-A,218870014,FOB 도착지,SO2024-00167,2024-10-31
SI2024-00169,2024-11-11,C005,P-A,150076015,FOB 도착지,SO2024-00169,2024-10-27
SI2024-00172,2024-11-11,C001,P-A,157136735,FOB 도착지,SO2024-00172,2024-10-18
SI2024-00178,2024-11-11,C002,P-A,114606132,FOB 도착지,SO2024-00178,2024-10-29
SI2024-00179,2024-11-11,C007,P-A,252596390,FOB 도착지,SO2024-00179,2024-10-18
SI2024-00576,2024-11-11,C009,P-C,100140395,FOB 도착지,SO2024-00576,2024-10-24
SI2024-00180,2024-11-12,C010,P-A,222334195,FOB 도착지,SO2024-00180,2024-10-25
SI2024-00171,2024-11-13,C009,P-A,187893614,FOB 도착지,SO2024-00171,2024-10-22
SI2024-00373,2024-11-13,C004,P-B,189679274,FOB 도착지,SO2024-00373,2024-10-19
SI2024-00582,2024-11-14,C006,P-C,93651259,FOB 도착지,SO2024-00582,2024-10-21
SI2024-00588,2024-11-14,C005,P-C,112823348,FOB 도착지,SO2024-00588,2024-10-28
SI2024-00365,2024-11-15,C008,P-B,57649959,FOB 도착지,SO2024-00365,2024-11-01
SI2024-00367,2024-11-18,C002,P-B,99671800,FOB 도착지,SO2024-00367,2024-11-07
SI2024-00370,2024-11-18,C007,P-B,89954297,FOB 도착지,SO2024-00370,2024-11-07
SI2024-00371,2024-11-18,C001,P-B,95535735,FOB 도착지,SO2024-00371,2024-11-03
SI2024-00375,2024-11-18,C001,P-B,155292722,FOB 도착지,SO2024-00375,2024-11-08
SI2024-00376,2024-11-18,C004,P-B,148836836,FOB 도착지,SO2024-00376,2024-10-24
SI2024-00378,2024-11-18,C005,P-B,152015656,FOB 도착지,SO2024-00378,2024-10-25
SI2024-00573,2024-11-18,C003,P-C,39135966,FOB 도착지,SO2024-00573,2024-11-04
SI2024-00364,2024-11-19,C006,P-B,68763998,FOB 도착지,SO2024-00364,2024-11-07
SI2024-00366,2024-11-20,C008,P-B,103380336,FOB 도착지,SO2024-00366,2024-11-07
SI2024-00578,2024-11-20,C009,P-C,85052878,FOB 도착지,SO2024-00578,2024-11-05
SI2024-00581,2024-11-20,C003,P-C,56149673,FOB 도착지,SO2024-00581,2024-10-27
SI2024-00183,2024-11-21,C010,P-A,168018554,FOB 도착지,SO2024-00183,2024-10-28
SI2024-00369,2024-11-21,C003,P-B,197413052,FOB 도착지,SO2024-00369,2024-11-08
SI2024-00368,2024-11-22,C003,P-B,149504942,FOB 도착지,SO2024-00368,2024-11-10
SI2024-00574,2024-11-22,C002,P-C,58027953,FOB 도착지,SO2024-00574,2024-11-04
SI2024-00575,2024-11-25,C004,P-C,81196500,FOB 도착지,SO2024-00575,2024-11-06
SI2024-00579,2024-11-25,C008,P-C,106187325,FOB 도착지,SO2024-00579,2024-11-06
SI2024-00174,2024-11-26,C002,P-A,86626242,FOB 도착지,SO2024-00174,2024-11-14
SI2024-00379,2024-11-26,C008,P-B,103576938,FOB 도착지,SO2024-00379,2024-11-13
SI2024-00363,2024-11-27,C008,P-B,110917602,FOB 도착지,SO2024-00363,2024-11-09
SI2024-00584,2024-11-28,C005,P-C,98934311,FOB 도착지,SO2024-00584,2024-11-05
SI2024-00197,2024-12-02,C009,P-A,207072144,FOB 도착지,SO2024-00197,2024-11-17
SI2024-00389,2024-12-02,C003,P-B,143727237,FOB 도착지,SO2024-00389,2024-11-20
SI2024-00395,2024-12-04,C009,P-B,84612194,FOB 도착지,SO2024-00395,2024-11-21
SI2024-00601,2024-12-04,C006,P-C,135491053,FOB 도착지,SO2024-00601,2024-11-15
SI2024-00392,2024-12-05,C010,P-B,141404824,FOB 도착지,SO2024-00392,2024-11-15
SI2024-00187,2024-12-06,C003,P-A,379693474,FOB 도착지,SO2024-00187,2024-11-14
SI2024-00400,2024-12-06,C001,P-B,114078197,FOB 도착지,SO2024-00400,2024-11-14
SI2024-00595,2024-12-06,C004,P-C,84691893,FOB 도착지,SO2024-00595,2024-11-24
SI2024-00185,2024-12-09,C002,P-A,357550603,FOB 도착지,SO2024-00185,2024-11-15
SI2024-00190,2024-12-09,C008,P-A,361726271,FOB 도착지,SO2024-00190,2024-11-18
SI2024-00196,2024-12-09,C001,P-A,392410857,FOB 도착지,SO2024-00196,2024-11-23
SI2024-00381,2024-12-09,C008,P-B,135149575,FOB 도착지,SO2024-00381,2024-11-16
SI2024-00382,2024-12-09,C009,P-B,225064237,FOB 도착지,SO2024-00382,2024-11-27
SI2024-00386,2024-12-09,C009,P-B,96716476,FOB 도착지,SO2024-00386,2024-11-17
