shipment_no,invoice_no,actual_ship_date,arrival_date,warehouse
SH2024-00391,SI2024-00391,2024-12-09,2024-12-11,2공장창고
SH2024-00392,SI2024-00392,2024-12-05,2024-12-09,2공장창고
SH2024-00393,SI2024-00393,2024-12-10,2024-12-12,2공장창고
SH2024-00394,SI2024-00394,2024-12-09,2024-12-11,2공장창고
SH2024-00395,SI2024-00395,2024-12-04,2024-12-05,1공장창고
SH2024-00396,SI2024-00396,2024-12-30,2024-12-31,1공장창고
SH2024-00397,SI2024-00397,2024-12-09,2024-12-11,2공장창고
SH2024-00398,SI2024-00398,2024-12-19,2024-12-20,2공장창고
SH2024-00399,SI2024-00399,2024-12-24,2024-12-25,물류센터
SH2024-00400,SI2024-00400,2024-12-06,2024-12-09,1공장창고
SH2024-00401,SI2024-00401,2024-01-18,2024-01-19,2공장창고
SH2024-00402,SI2024-00402,2024-01-08,2024-01-09,1공장창고
SH2024-00403,SI2024-00403,2024-01-19,2024-01-22,2공장창고
SH2024-00404,SI2024-00404,2024-01-23,2024-01-24,2공장창고
SH2024-00405,SI2024-00405,2024-01-09,2024-01-10,1공장창고
SH2024-00406,SI2024-00406,2024-01-01,2024-01-02,2공장창고
SH2024-00407,SI2024-00407,2024-01-26,2024-01-29,2공장창고
SH2024-00408,SI2024-00408,2024-01-08,2024-01-09,물류센터
SH2024-00409,SI2024-00409,2024-01-10,2024-01-12,물류센터
SH2024-00410,SI2024-00410,2024-01-15,2024-01-16,2공장창고
SH2024-00411,SI2024-00411,2024-01-03,2024-01-04,1공장창고
SH2024-00412,SI2024-00412,2024-01-02,2024-01-03,2공장창고
SH2024-00413,SI2024-00413,2024-01-17,2024-01-18,물류센터
SH2024-00414,SI2024-00414,2024-01-22,2024-01-24,2공장창고
SH2024-00415,SI2024-00415,2024-01-08,2024-01-09,2공장창고
SH2024-00416,SI2024-00416,2024-01-19,2024-01-22,1공장창고
SH2024-00417,SI2024-00417,2024-01-15,2024-01-17,2공장창고
SH2024-00418,SI2024-00418,2024-01-11,2024-01-15,물류센터
SH2024-00419,SI2024-00419,2024-01-10,2024-01-11,물류센터
SH2024-00420,SI2024-00420,2024-01-08,2024-01-09,1공장창고
SH2024-00421,SI2024-00421,2024-02-26,2024-02-27,물류센터
SH2024-00422,SI2024-00422,2024-02-12,2024-02-13,1공장창고
SH2024-00423,SI2024-00423,2024-02-05,2024-02-07,1공장창고
SH2024-00424,SI2024-00424,2024-02-26,2024-02-28,1공장창고
SH2024-00425,SI2024-00425,2024-02-05,2024-02-06,2공장창고
SH2024-00426,SI2024-00426,2024-02-26,2024-02-28,2공장창고
SH2024-00427,SI2024-00427,2024-02-09,2024-02-12,1공장창고
SH2024-00428,SI2024-00428,2024-02-20,2024-02-21,2공장창고
SH2024-00429,SI2024-00429,2024-02-05,2024-02-06,1공장창고
SH2024-00430,SI2024-00430,2024-02-19,2024-02-20,1공장창고
SH2024-00431,SI2024-00431,2024-02-09,2024-02-12,물류센터
SH2024-00432,SI2024-00432,2024-02-01,2024-02-02,1공장창고
SH2024-00433,SI2024-00433,2024-02-19,2024-02-21,2공장창고
SH2024-00434,SI2024-00434,2024-02-06,2024-02-07,물류센터
SH2024-00435,SI2024-00435,2024-02-21,2024-02-22,2공장창고
SH2024-00436,SI2024-00436,2024-02-12,2024-02-14,물류센터
SH2024-00437,SI2024-00437,2024-02-06,2024-02-08,2공장창고
SH2024-00438,SI2024-00438,2024-02-22,2024-02-26,물류센터
SH2024-00439,SI2024-00439,2024-02-05,2024-02-06,물류센터
SH2024-00440,SI2024-00440,2024-02-19,2024-02-20,1공장창고
SH2024-00441,SI2024-00441,2024-03-13,2024-03-14,2공장창고
SH2024-00442,SI2024-00442,2024-03-19,2024-03-20,1공장창고
SH2024-00443,SI2024-00443,2024-03-06,2024-03-08,물류센터
SH2024-00444,SI2024-00444,2024-03-01,2024-03-04,2공장창고
SH2024-00445,SI2024-00445,2024-03-06,2024-03-07,2공장창고
SH2024-00446,SI2024-00446,2024-03-18,2024-03-20,물류센터
SH2024-00447,SI2024-00447,2024-03-11,2024-03-12,2공장창고
SH2024-00448,SI2024-00448,2024-03-18,2024-03-19,물류센터
SH2024-00449,SI2024-00449,2024-03-15,2024-03-18,1공장창고
SH2024-00450,SI2024-00450,2024-03-14,2024-03-15,2공장창고
SH2024-00451,SI2024-00451,2024-03-21,2024-03-22,2공장창고
SH2024-00452,SI2024-00452,2024-03-11,2024-03-12,물류센터
SH2024-00453,SI2024-00453,2024-03-21,2024-03-22,물류센터
SH2024-00454,SI2024-00454,2024-03-04,2024-03-05,1공장창고
SH2024-00455,SI2024-00455,2024-03-08,2024-03-11,2공장창고
SH2024-00456,SI2024-00456,2024-03-11,2024-03-13,물류센터
SH2024-00457,SI2024-00457,2024-03-18,2024-03-19,물류센터
SH2024-00458,SI2024-00458,2024-03-04,2024-03-05,물류센터
SH2024-00459,SI2024-00459,2024-04-10,2024-04-11,물류센터
SH2024-00460,SI2024-00460,2024-04-22,2024-04-23,2공장창고
SH2024-00461,SI2024-00461,2024-04-15,2024-04-16,1공장창고
SH2024-00462,SI2024-00462,2024-04-22,2024-04-23,2공장창고
SH2024-00463,SI2024-00463,2024-04-29,2024-04-30,2공장창고
SH2024-00464,SI2024-00464,2024-04-01,2024-04-02,물류센터
SH2024-00465,SI2024-00465,2024-04-15,2024-04-16,물류센터
SH2024-00466,SI2024-00466,2024-04-04,2024-04-08,2공장창고
SH2024-00467,SI2024-00467,2024-04-05,2024-04-08,1공장창고
SH2024-00468,SI2024-00468,2024-04-09,2024-04-10,2공장창고
SH2024-00469,SI2024-00469,2024-04-05,2024-04-08,2공장창고
SH2024-00470,SI2024-00470,2024-04-29,2024-04-30,2공장창고
SH2024-00471,SI2024-00471,2024-04-02,2024-04-03,2공장창고
SH2024-00472,SI2024-00472,2024-04-11,2024-04-12,1공장창고
SH2024-00473,SI2024-00473,2024-04-22,2024-04-23,물류센터
SH2024-00474,SI2024-00474,2024-04-08,2024-04-10,1공장창고
SH2024-00475,SI2024-00475,2024-04-25,2024-04-26,물류센터
SH2024-00476,SI2024-00476,2024-05-20,2024-05-22,1공장창고
SH2024-00477,SI2024-00477,2024-05-16,2024-05-17,1공장창고
SH2024-00478,SI2024-00478,2024-05-13,2024-05-15,물류센터
SH2024-00479,SI2024-00479,2024-05-03,2024-05-06,물류센터
SH2024-00480,SI2024-00480,2024-05-13,2024-05-14,2공장창고
SH2024-00481,SI2024-00481,2024-05-13,2024-05-14,2공장창고
SH2024-00482,SI2024-00482,2024-05-06,2024-05-07,물류센터
SH2024-00483,SI2024-00483,2024-05-20,2024-05-22,2공장창고
SH2024-00484,SI2024-00484,2024-05-03,2024-05-06,물류센터
SH2024-00485,SI2024-00485,2024-05-13,2024-05-14,물류센터
SH2024-00486,SI2024-00486,2024-05-14,2024-05-16,1공장창고
SH2024-00487,SI2024-00487,2024-05-06,2024-05-07,물류센터
SH2024-00488,SI2024-00488,2024-05-09,2024-05-13,물류센터
SH2024-00489,SI2024-00489,2024-05-16,2024-05-20,물류센터
SH2024-00490,SI2024-00490,2024-05-01,2024-05-02,물류센터
SH2024-00491,SI2024-00491,2024-05-13,2024-05-14,2공장창고
SH2024-00492,SI2024-00492,2024-06-24,2024-06-25,2공장창고
SH2024-00493,SI2024-00493,2024-06-10,2024-06-11,1공장창고
SH2024-00494,SI2024-00494,2024-06-26,2024-06-27,1공장창고
SH2024-00495,SI2024-00495,2024-06-11,2024-06-13,2공장창고
SH2024-00496,SI2024-00496,2024-06-27,2024-07-01,2공장창고
SH2024-00497,SI2024-00497,2024-06-10,2024-06-12,2공장창고
SH2024-00498,SI2024-00498,2024-06-10,2024-06-11,2공장창고
SH2024-00499,SI2024-00499,2024-06-19,2024-06-21,1공장창고
SH2024-00500,SI2024-00500,2024-06-03,2024-06-05,물류센터
SH2024-00501,SI2024-00501,2024-06-10,2024-06-11,2공장창고
SH2024-00502,SI2024-00502,2024-06-17,2024-06-18,물류센터
SH2024-00503,SI2024-00503,2024-06-24,2024-06-26,2공장창고
SH2024-00504,SI2024-00504,2024-06-10,2024-06-12,물류센터
SH2024-00505,SI2024-00505,2024-06-05,2024-06-06,1공장창고
SH2024-00506,SI2024-00506,2024-06-24,2024-06-25,1공장창고
SH2024-00507,SI2024-00507,2024-06-10,2024-06-11,1공장창고
SH2024-00508,SI2024-00508,2024-06-24,2024-06-25,1공장창고
SH2024-00509,SI2024-00509,2024-07-11,2024-07-12,물류센터
SH2024-00510,SI2024-00510,2024-07-19,2024-07-22,2공장창고
SH2024-00511,SI2024-00511,2024-07-24,2024-07-26,2공장창고
SH2024-00512,SI2024-00512,2024-07-08,2024-07-09,1공장창고
SH2024-00513,SI2024-00513,2024-07-04,2024-07-05,1공장창고
SH2024-00514,SI2024-00514,2024-07-05,2024-07-08,2공장창고
SH2024-00515,SI2024-00515,2024-07-09,2024-07-10,2공장창고
SH2024-00516,SI2024-00516,2024-07-29,2024-07-31,물류센터
SH2024-00517,SI2024-00517,2024-07-08,2024-07-09,1공장창고
SH2024-00518,SI2024-00518,2024-07-08,2024-07-09,2공장창고
SH2024-00519,SI2024-00519,2024-07-04,2024-07-08,물류센터
SH2024-00520,SI2024-00520,2024-07-24,2024-07-25,2공장창고
SH2024-00521,SI2024-00521,2024-07-25,2024-07-26,2공장창고
SH2024-00522,SI2024-00522,2024-07-22,2024-07-23,물류센터
SH2024-00523,SI2024-00523,2024-08-19,2024-08-20,2공장창고
SH2024-00524,SI2024-00524,2024-08-02,2024-08-05,물류센터
SH2024-00525,SI2024-00525,2024-08-12,2024-08-13,1공장창고
SH2024-00526,SI2024-00526,2024-08-22,2024-08-26,1공장창고
SH2024-00527,SI2024-00527,2024-08-12,2024-08-13,1공장창고
SH2024-00528,SI2024-00528,2024-08-12,2024-08-13,1공장창고
SH2024-00529,SI2024-00529,2024-08-27,2024-08-28,1공장창고
SH2024-00530,SI2024-00530,2024-08-26,2024-08-27,물류센터
SH2024-00531,SI2024-00531,2024-08-19,2024-08-21,물류센터
SH2024-00532,SI2024-00532,2024-08-28,2024-08-29,2공장창고
SH2024-00533,SI2024-00533,2024-08-22,2024-08-23,2공장창고
SH2024-00534,SI2024-00534,2024-08-19,2024-08-21,1공장창고
SH2024-00535,SI2024-00535,2024-08-20,2024-08-21,물류센터
SH2024-00536,SI2024-00536,2024-08-05,2024-08-06,물류센터
SH2024-00537,SI2024-00537,2024-08-19,2024-08-20,1공장창고
SH2024-00538,SI2024-00538,2024-08-13,2024-08-14,2공장창고
SH2024-00539,SI2024-00539,2024-08-27,2024-08-28,2공장창고
SH2024-00540,SI2024-00540,2024-08-14,2024-08-15,1공장창고
SH2024-00541,SI2024-00541,2024-09-03,2024-09-04,물류센터
SH2024-00542,SI2024-00542,2024-09-09,2024-09-10,1공장창고
SH2024-00543,SI2024-00543,2024-09-13,2024-09-16,1공장창고
SH2024-00544,SI2024-00544,2024-09-09,2024-09-10,2공장창고
SH2024-00545,SI2024-00545,2024-09-16,2024-09-18,물류센터
SH2024-00546,SI2024-00546,2024-09-16,2024-09-17,1공장창고
SH2024-00547,SI2024-00547,2024-09-16,2024-09-17,2공장창고
SH2024-00548,SI2024-00548,2024-09-20,2024-09-23,1공장창고
SH2024-00549,SI2024-00549,2024-09-16,2024-09-17,2공장창고
SH2024-00550,SI2024-00550,2024-09-27,2024-09-30,2공장창고
SH2024-00551,SI2024-00551,2024-09-09,2024-09-10,1공장창고
SH2024-00552,SI2024-00552,2024-09-26,2024-09-30,2공장창고
SH2024-00553,SI2024-00553,2024-09-17,2024-09-18,2공장창고
SH2024-00554,SI2024-00554,2024-09-06,2024-09-09,2공장창고
SH2024-00555,SI2024-00555,2024-09-02,2024-09-03,물류센터
SH2024-00556,SI2024-00556,2024-10-25,2024-10-28,물류센터
SH2024-00557,SI2024-00557,2024-10-21,2024-10-22,2공장창고
SH2024-00558,SI2024-00558,2024-10-07,2024-10-08,2공장창고
SH2024-00559,SI2024-00559,2024-10-23,2024-10-24,물류센터
SH2024-00560,SI2024-00560,2024-10-14,2024-10-15,1공장창고
SH2024-00561,SI2024-00561,2024-10-21,2024-10-22,물류센터
SH2024-00562,SI2024-00562,2024-10-23,2024-10-25,2공장창고
SH2024-00563,SI2024-00563,2024-10-14,2024-10-16,2공장창고
SH2024-00564,SI2024-00564,2024-10-09,2024-10-10,물류센터
SH2024-00565,SI2024-00565,2024-10-21,2024-10-22,2공장창고
SH2024-00566,SI2024-00566,2024-10-17,2024-10-18,2공장창고
SH2024-00567,SI2024-00567,2024-10-24,2024-10-28,1공장창고
SH2024-00568,SI2024-00568,2024-10-15,2024-10-16,1공장창고
SH2024-00569,SI2024-00569,2024-10-14,2024-10-16,1공장창고
SH2024-00570,SI2024-00570,2024-10-21,2024-10-23,2공장창고
SH2024-00571,SI2024-00571,2024-10-16,2024-10-17,2공장창고
SH2024-00572,SI2024-00572,2024-11-01,2024-11-04,2공장창고
SH2024-00573,SI2024-00573,2024-11-18,2024-11-19,2공장창고
SH2024-00574,SI2024-00574,2024-11-21,2024-11-25,1공장창고
SH2024-00575,SI2024-00575,2024-11-25,2024-11-26,1공장창고
SH2024-00576,SI2024-00576,2024-11-11,2024-11-12,물류센터
SH2024-00577,SI2024-00577,2024-11-01,2024-11-04,1공장창고
SH2024-00578,SI2024-00578,2024-11-19,2024-11-20,물류센터
SH2024-00579,SI2024-00579,2024-11-25,2024-11-26,2공장창고
SH2024-00580,SI2024-00580,2024-11-05,2024-11-06,2공장창고
SH2024-00581,SI2024-00581,2024-11-19,2024-11-21,물류센터
SH2024-00582,SI2024-00582,2024-11-14,2024-11-15,2공장창고
SH2024-00583,SI2024-00583,2024-11-06,2024-11-08,2공장창고
SH2024-00584,SI2024-00584,2024-11-28,2024-12-02,2공장창고
SH2024-00585,SI2024-00585,2024-10-31,2024-11-01,1공장창고
SH2024-00586,SI2024-00586,2024-11-04,2024-11-05,1공장창고
SH2024-00587,SI2024-00587,2024-11-04,2024-11-06,2공장창고
SH2024-00588,SI2024-00588,2024-11-13,2024-11-14,물류센터
SH2024-00589,SI2024-00589,2024-12-17,2024-12-18,1공장창고
SH2024-00590,SI2024-00590,2024-12-09,2024-12-11,물류센터
SH2024-00591,SI2024-00591,2024-12-27,2024-12-30,2공장창고
SH2024-00592,SI2024-00592,2024-12-13,2024-12-16,물류센터
SH2024-00593,SI2024-00593,2024-12-27,2024-12-30,1공장창고
SH2024-00594,SI2024-00594,2024-12-23,2024-12-25,2공장창고
SH2024-00595,SI2024-00595,2024-12-06,2024-12-09,물류센터
SH2024-00596,SI2024-00596,2024-12-25,2024-12-27,1공장창고
SH2024-00597,SI2024-00597,2024-12-30,2024-12-31,1공장창고
SH2024-00598,SI2024-00598,2024-12-13,2024-12-16,물류센터
SH2024-00599,SI2024-00599,2024-12-11,2024-12-12,2공장창고
SH2024-00600,SI2024-00600,2024-12-25,2024-12-26,2공장창고
SH2024-00601,SI2024-00601,2024-12-04,2024-12-05,2공장창고
SH2024-00602,SI2024-00602,2024-12-23,2024-12-24,물류센터
SH2024-00603,SI2024-00603,2024-12-16,2024-12-17,물류센터
SH2025-00604,SI2024-00604,2025-01-06,2025-01-08,2공장창고
SH2025-00605,SI2024-00605,2025-01-03,2025-01-06,2공장창고
SH2025-00606,SI2024-00606,2025-01-03,2025-01-06,1공장창고
SH2025-00607,SI2024-00607,2025-01-03,2025-01-06,1공장창고
SH2025-00608,SI2024-00608,2025-01-02,2025-01-06,2공장창고
SH2025-00609,SI2024-00609,2025-01-06,2025-01-08,1공장창고
SH2025-00610,SI2024-00610,2025-01-07,2025-01-09,2공장창고
SH2025-00611,SI2024-00611,2025-01-03,2025-01-06,1공장창고
SH2025-00612,SI2024-00612,2025-01-07,2025-01-09,2공장창고
SH2024-00613,SI2024-00613,2024-12-18,2024-12-20,물류센터
SH2024-00614,SI2024-00614,2024-12-27,2024-12-30,물류센터
SH2024-00615,SI2024-00615,2024-12-27,2024-12-30,물류센터
SH2024-00616,SI2024-00616,2024-12-23,2024-12-25,물류센터
SH2024-00617,SI2024-00617,2024-12-26,2024-12-30,물류센터
SH2024-00618,SI2024-00618,2024-12-26,2024-12-30,물류센터
SH2024-00619,SI2024-00619,2024-12-23,2024-12-25,물류센터
SH2024-00620,SI2024-00620,2024-12-27,2024-12-30,물류센터
SH2024-00621,SI2024-00621,2024-12-18,2024-12-20,물류센터
SH2024-00622,SI2024-00622,2024-12-27,2024-12-30,물류센터
SH2024-00623,SI2024-00623,2024-12-27,2024-12-30,물류센터
SH2024-00624,SI2024-00624,2024-12-18,2024-12-20,물류센터
